,cat_id,img,path,format
0,0470,0470_007.JPG,0470/0470_007.JPG,jpg
1,0470,0470_004.JPG,0470/0470_004.JPG,jpg
2,0470,0470_008.JPG,0470/0470_008.JPG,jpg
3,0470,0470_010.JPG,0470/0470_010.JPG,jpg
4,0470,0470_009.JPG,0470/0470_009.JPG,jpg
5,0470,0470_006.JPG,0470/0470_006.JPG,jpg
6,0470,0470_001.JPG,0470/0470_001.JPG,jpg
7,0470,0470_005.JPG,0470/0470_005.JPG,jpg
8,0470,0470_003.JPG,0470/0470_003.JPG,jpg
9,0470,0470_002.JPG,0470/0470_002.JPG,jpg
10,0470,0470_000.JPG,0470/0470_000.JPG,jpg
11,0242,0242_013.jpg,0242/0242_013.jpg,jpg
12,0242,0242_010.jpg,0242/0242_010.jpg,jpg
13,0242,0242_004.jpg,0242/0242_004.jpg,jpg
14,0242,0242_011.jpg,0242/0242_011.jpg,jpg
15,0242,0242_006.jpg,0242/0242_006.jpg,jpg
16,0242,0242_002.jpg,0242/0242_002.jpg,jpg
17,0242,0242_015.jpg,0242/0242_015.jpg,jpg
18,0242,0242_014.jpg,0242/0242_014.jpg,jpg
19,0242,0242_012.jpg,0242/0242_012.jpg,jpg
20,0242,0242_009.jpg,0242/0242_009.jpg,jpg
21,0242,0242_005.jpg,0242/0242_005.jpg,jpg
22,0242,0242_003.jpg,0242/0242_003.jpg,jpg
23,0242,0242_001.jpg,0242/0242_001.jpg,jpg
24,0242,0242_007.jpg,0242/0242_007.jpg,jpg
25,0242,0242_008.jpg,0242/0242_008.jpg,jpg
26,0242,0242_000.jpg,0242/0242_000.jpg,jpg
27,0504,0504_030.jpg,0504/0504_030.jpg,jpg
28,0504,0504_039.jpg,0504/0504_039.jpg,jpg
29,0504,0504_038.jpg,0504/0504_038.jpg,jpg
30,0504,0504_015.jpg,0504/0504_015.jpg,jpg
31,0504,0504_009.jpg,0504/0504_009.jpg,jpg
32,0504,0504_022.jpg,0504/0504_022.jpg,jpg
33,0504,0504_043.jpg,0504/0504_043.jpg,jpg
